Week,Home,Away,Predicted Goals (Home),Predicted Goals (Away),goal_diff,Home Clean Sheet %,Away Clean Sheet %
13.0,Tottenham,Aston Villa,1.48,1.97,0.5,14.000000000000002,23.0
13.0,Newcastle Utd,Chelsea,1.72,1.4,0.32,25.0,18.0
13.0,Fulham,Wolves,1.23,1.64,0.4,19.0,28.999999999999996
13.0,Luton Town,Crystal Palace,1.15,1.65,0.5,19.0,32.0
13.0,Everton,Manchester Utd,1.92,1.2,0.73,30.0,15.0
14.0,Nott'ham Forest,Everton,1.05,1.62,0.57,20.0,35.0
14.0,Manchester City,Tottenham,2.58,0.81,1.78,44.0,8.0
14.0,Brentford,Luton Town,3.02,0.81,2.2,44.0,5.0
14.0,Bournemouth,Aston Villa,0.95,2.81,1.86,6.0,39.0
14.0,Liverpool,Fulham,3.56,0.69,2.87,50.0,3.0
14.0,Newcastle Utd,Manchester Utd,2.58,0.95,1.63,39.0,8.0
14.0,Arsenal,Wolves,2.46,0.59,1.87,55.00000000000001,9.0
14.0,Chelsea,Brighton,2.11,1.14,0.98,32.0,12.0
14.0,Burnley,Sheffield Utd,1.42,0.95,0.48,39.0,24.0
14.0,West Ham,Crystal Palace,1.54,1.42,0.11,24.0,21.0
15.0,Sheffield Utd,Liverpool,0.62,3.57,2.95,3.0,54.0
15.0,Crystal Palace,Bournemouth,2.02,0.97,1.05,38.0,13.0
15.0,Aston Villa,Manchester City,1.26,1.65,0.39,19.0,28.000000000000004
15.0,Tottenham,West Ham,2.31,1.3,1.02,27.0,10.0
15.0,Everton,Newcastle Utd,1.24,1.72,0.48,18.0,28.999999999999996
15.0,Brighton,Brentford,1.66,1.45,0.21,23.0,19.0
15.0,Wolves,Burnley,2.06,0.77,1.29,46.0,13.0
15.0,Luton Town,Arsenal,0.56,2.68,2.12,7.000000000000001,56.99999999999999
15.0,Fulham,Nott'ham Forest,1.25,1.31,0.06,27.0,28.999999999999996
15.0,Manchester Utd,Chelsea,1.2,2.18,0.98,11.0,30.0
16.0,Manchester Utd,Bournemouth,2.43,1.05,1.38,35.0,9.0
16.0,Wolves,Nott'ham Forest,1.64,1.06,0.58,35.0,19.0
16.0,Aston Villa,Arsenal,1.14,1.47,0.33,23.0,32.0
16.0,Everton,Chelsea,1.28,1.78,0.49,17.0,28.000000000000004
16.0,Crystal Palace,Liverpool,1.03,2.15,1.12,12.0,36.0
16.0,Brighton,Burnley,2.69,0.6,2.08,55.00000000000001,7.000000000000001
16.0,Tottenham,Newcastle Utd,1.28,2.01,0.72,13.0,28.000000000000004
16.0,Fulham,West Ham,1.42,1.7,0.29,18.0,24.0
16.0,Sheffield Utd,Brentford,0.71,2.8,2.09,6.0,49.0
16.0,Luton Town,Manchester City,0.62,3.0,2.38,5.0,54.0
17.0,Burnley,Everton,0.76,2.03,1.27,13.0,47.0
17.0,Liverpool,Manchester Utd,2.85,1.01,1.83,36.0,6.0
17.0,Manchester City,Crystal Palace,2.5,0.61,1.9,54.0,8.0
17.0,Chelsea,Sheffield Utd,4.08,0.49,3.59,61.0,2.0
17.0,Brentford,Aston Villa,1.66,1.65,0.01,19.0,19.0
17.0,Nott'ham Forest,Tottenham,1.22,1.67,0.45,19.0,30.0
17.0,Newcastle Utd,Fulham,3.22,0.64,2.58,53.0,4.0
17.0,West Ham,Wolves,1.69,1.52,0.17,22.0,18.0
17.0,Bournemouth,Luton Town,1.73,1.38,0.35,25.0,18.0
17.0,Arsenal,Brighton,1.92,0.77,1.16,46.0,15.0
18.0,West Ham,Manchester Utd,1.66,1.71,0.04,18.0,19.0
18.0,Aston Villa,Sheffield Utd,3.89,0.55,3.35,57.99999999999999,2.0
18.0,Luton Town,Newcastle Utd,0.81,2.85,2.04,6.0,44.0
18.0,Crystal Palace,Brighton,1.19,1.57,0.39,21.0,30.0
18.0,Fulham,Burnley,1.57,0.95,0.62,39.0,21.0
18.0,Tottenham,Everton,1.62,1.5,0.13,22.0,20.0
18.0,Wolves,Chelsea,1.07,2.21,1.14,11.0,34.0
18.0,Manchester City,Brentford,2.16,0.91,1.25,40.0,12.0
18.0,Liverpool,Arsenal,1.28,1.37,0.09,25.0,28.000000000000004
18.0,Nott'ham Forest,Bournemouth,1.74,1.08,0.66,34.0,18.0
19.0,Chelsea,Crystal Palace,2.46,0.82,1.64,44.0,9.0
19.0,Bournemouth,Fulham,1.6,1.35,0.26,26.0,20.0
19.0,Brighton,Tottenham,1.98,1.29,0.69,28.000000000000004,14.000000000000002
19.0,Sheffield Utd,Luton Town,1.21,1.57,0.36,21.0,30.0
19.0,Manchester Utd,Aston Villa,1.33,2.08,0.74,12.0,26.0
19.0,Everton,Manchester City,0.95,1.81,0.86,16.0,39.0
19.0,Arsenal,West Ham,2.82,0.61,2.21,54.0,6.0
19.0,Burnley,Liverpool,0.64,3.0,2.36,5.0,53.0
19.0,Brentford,Wolves,2.27,1.04,1.22,35.0,10.0
19.0,Newcastle Utd,Nott'ham Forest,2.65,0.68,1.97,51.0,7.000000000000001
20.0,Liverpool,Newcastle Utd,1.83,1.46,0.38,23.0,16.0
20.0,Nott'ham Forest,Manchester Utd,1.28,1.51,0.22,22.0,28.000000000000004
20.0,Aston Villa,Burnley,3.27,0.56,2.71,56.99999999999999,4.0
20.0,Tottenham,Bournemouth,2.69,1.0,1.69,37.0,7.000000000000001
20.0,Fulham,Arsenal,0.55,2.48,1.93,8.0,57.99999999999999
20.0,Wolves,Everton,1.31,1.6,0.29,20.0,27.0
20.0,Luton Town,Chelsea,0.83,2.94,2.11,5.0,44.0
20.0,Manchester City,Sheffield Utd,4.17,0.36,3.8,70.0,2.0
20.0,West Ham,Brighton,1.32,1.98,0.66,14.000000000000002,27.0
20.0,Crystal Palace,Brentford,1.19,1.69,0.5,18.0,30.0
21.0,Arsenal,Crystal Palace,2.24,0.55,1.69,57.99999999999999,11.0
21.0,Everton,Aston Villa,1.43,1.7,0.26,18.0,24.0
21.0,Brighton,Wolves,2.11,1.04,1.07,35.0,12.0
21.0,Newcastle Utd,Manchester City,1.28,1.43,0.15,24.0,28.000000000000004
21.0,Manchester Utd,Tottenham,1.71,1.63,0.08,20.0,18.0
21.0,Bournemouth,Liverpool,0.89,3.15,2.27,4.0,41.0
21.0,Sheffield Utd,West Ham,1.04,2.09,1.05,12.0,35.0
21.0,Burnley,Luton Town,1.25,1.32,0.06,27.0,28.999999999999996
21.0,Chelsea,Fulham,3.33,0.66,2.66,52.0,4.0
21.0,Brentford,Nott'ham Forest,2.29,0.84,1.46,43.0,10.0
22.0,West Ham,Bournemouth,2.25,1.22,1.03,30.0,11.0
22.0,Fulham,Everton,0.99,1.97,0.98,14.000000000000002,37.0
22.0,Nott'ham Forest,Arsenal,0.58,2.04,1.46,13.0,56.00000000000001
22.0,Luton Town,Brighton,0.99,2.3,1.31,10.0,37.0
22.0,Wolves,Manchester Utd,1.6,1.49,0.11,23.0,20.0
22.0,Tottenham,Brentford,1.58,1.74,0.16,18.0,21.0
22.0,Crystal Palace,Sheffield Utd,2.29,0.68,1.62,51.0,10.0
22.0,Aston Villa,Newcastle Utd,1.64,1.57,0.07,21.0,19.0
22.0,Liverpool,Chelsea,1.9,1.5,0.4,22.0,15.0
22.0,Manchester City,Burnley,3.5,0.38,3.12,68.0,3.0
23.0,Bournemouth,Nott'ham Forest,1.32,1.42,0.1,24.0,27.0
23.0,Brentford,Manchester City,1.11,1.77,0.66,17.0,33.0
23.0,Newcastle Utd,Luton Town,3.48,0.66,2.82,52.0,3.0
23.0,Brighton,Crystal Palace,1.92,0.97,0.95,38.0,15.0
23.0,Arsenal,Liverpool,1.67,1.05,0.63,35.0,19.0
23.0,Burnley,Fulham,1.16,1.28,0.12,28.000000000000004,31.0
23.0,Sheffield Utd,Aston Villa,0.67,3.19,2.52,4.0,51.0
23.0,Manchester Utd,West Ham,2.09,1.36,0.73,26.0,12.0
23.0,Chelsea,Wolves,2.7,0.87,1.83,42.0,7.000000000000001
23.0,Everton,Tottenham,1.83,1.33,0.5,26.0,16.0
24.0,Manchester City,Everton,2.22,0.78,1.44,46.0,11.0
24.0,Crystal Palace,Chelsea,1.0,2.01,1.01,13.0,37.0
24.0,Luton Town,Sheffield Utd,1.92,0.99,0.93,37.0,15.0
24.0,Nott'ham Forest,Newcastle Utd,0.83,2.17,1.34,11.0,44.0
24.0,Liverpool,Burnley,3.67,0.52,3.15,59.0,3.0
24.0,Wolves,Brentford,1.27,1.85,0.58,16.0,28.000000000000004
24.0,West Ham,Arsenal,0.75,2.31,1.56,10.0,47.0
