,index,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG,npxG per 90,npxG+xAG per 90,season_years
319,243,244,Mateo Kovacic,CRO,MF,Manchester City,29.0,1994.0,11.0,6.0,590.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,16.0,40.0,18.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.21,0.09,0.21,2023-2024
320,102,103,Matheus Cunha,BRA,FW,Wolves,24.0,1999.0,15.0,15.0,1239.0,13.8,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,3.8,3.8,1.9,5.7,49.0,32.0,55.0,0.29,0.22,0.51,0.29,0.51,0.28,0.14,0.41,0.28,0.41,2023-2024
321,163,164,Matheus Franca,BRA,FW,Crystal Palace,19.0,2004.0,2.0,0.0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.85,1.08,0.22,1.08,2023-2024
322,326,327,Matheus Nunes,POR,MF,Manchester City,25.0,1998.0,6.0,2.0,225.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,10.0,19.0,0.0,0.4,0.4,0.0,0.4,0.0,0.05,0.05,0.0,0.05,2023-2024
323,212,213,Mathias Jensen,DEN,MF,Brentford,27.0,1996.0,12.0,12.0,905.0,10.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.5,0.5,2.3,2.7,7.0,49.0,33.0,0.3,0.2,0.5,0.3,0.5,0.05,0.23,0.27,0.05,0.27,2023-2024
324,226,227,Mathias Jorgensen,DEN,DF,Brentford,33.0,1990.0,2.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.92,0.0,3.92,2023-2024
325,126,127,Matt Doherty,IRL,DF,Wolves,31.0,1992.0,9.0,1.0,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,2.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.22,0.06,0.22,2023-2024
326,384,385,Matt Ritchie,SCO,MF,Newcastle Utd,34.0,1989.0,4.0,0.0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,2023-2024
327,430,431,Matt Targett,ENG,DF,Newcastle Utd,28.0,1995.0,3.0,1.0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,2023-2024
328,454,455,Matt Turner,USA,GK,Nott'ham Forest,29.0,1994.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
329,81,82,Matty Cash,POL,DF,Aston Villa,26.0,1997.0,14.0,13.0,1085.0,12.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,3.3,3.3,1.1,4.5,27.0,33.0,45.0,0.17,0.08,0.25,0.17,0.25,0.27,0.1,0.37,0.27,0.37,2023-2024
330,0,1,Max Aarons,ENG,DF,Bournemouth,23.0,2000.0,12.0,11.0,950.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.8,16.0,31.0,19.0,0.0,0.09,0.09,0.0,0.09,0.0,0.08,0.08,0.0,0.08,2023-2024
331,236,237,Max Kilman,ENG,DF,Wolves,26.0,1997.0,15.0,15.0,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.9,12.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,2023-2024
332,261,262,Max Lowe,ENG,DF,Sheffield Utd,26.0,1997.0,3.0,2.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2023-2024
333,96,97,Maxwel Cornet,CIV,MF,West Ham,27.0,1996.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
334,231,232,Michael Keane,ENG,DF,Everton,30.0,1993.0,4.0,2.0,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2023-2024
335,318,319,Michael Ndiweni,ENG,FW,Newcastle Utd,20.0,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
336,330,331,Michael Obafemi,IRL,FW,Burnley,23.0,2000.0,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,2023-2024
337,334,335,Michael Olakigbe,ENG,MF,Brentford,19.0,2004.0,4.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,2023-2024
338,335,336,Michael Olise,FRA,MF,Crystal Palace,21.0,2001.0,4.0,3.0,294.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,8.0,10.0,32.0,0.31,0.0,0.31,0.31,0.31,0.22,0.36,0.58,0.22,0.58,2023-2024
339,23,24,Michail Antonio,JAM,FW,West Ham,33.0,1990.0,12.0,11.0,813.0,9.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,0.7,2.5,25.0,10.0,46.0,0.22,0.22,0.44,0.22,0.44,0.2,0.07,0.28,0.2,0.28,2023-2024
340,461,462,Micky van de Ven,NED,DF,Tottenham,22.0,2001.0,11.0,11.0,943.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,9.0,34.0,1.0,0.1,0.0,0.1,0.1,0.1,0.03,0.0,0.03,0.03,0.03,2023-2024
341,15,16,Miguel Almiron,PAR,MF,Newcastle Utd,29.0,1994.0,14.0,12.0,924.0,10.3,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,0.9,2.6,43.0,37.0,89.0,0.19,0.1,0.29,0.19,0.29,0.17,0.09,0.26,0.17,0.26,2023-2024
342,449,450,Mike Tresor,BEL,MF,Burnley,24.0,1999.0,8.0,2.0,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.7,10.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.25,0.16,0.25,2023-2024
343,106,107,Mikkel Damsgaard,DEN,MF,Brentford,23.0,2000.0,3.0,0.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,2023-2024
344,235,236,Milos Kerkez,HUN,DF,Bournemouth,20.0,2003.0,14.0,12.0,1071.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,20.0,19.0,45.0,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.04,0.01,0.04,2023-2024
345,145,146,Mohamed Elneny,EGY,MF,Arsenal,31.0,1992.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
