,second_name,first_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,transfers_out,value_season,bonus,bps,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,points_per_game,value_form,value_season,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,id_x,id_y,plural_name,singular_name,pos_short,id,name,full_name
188,Barrington,Luca,5,3,0.0,45,0,138,65,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,755,3,Midfielders,Midfielder,MF,5,Brighton,Luca Barrington
189,Agyei,Enock,6,3,0.2,43,0,32629,32104,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,156,3,Midfielders,Midfielder,MF,6,Burnley,Enock Agyei
190,Al-Dakhil,Ameen,6,2,0.6,39,875,91026,90917,2.6,0,99,10,0.19,0.48,0.67,18.03,0.02,0.05,0.07,1.85,0.9,0.1,2.6,0,0,0,22,1,0,0,1,0,0,157,2,Defenders,Defender,DF,6,Burnley,Ameen Al-Dakhil
191,Bastien,Samuel,6,3,0.0,49,0,326,2634,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,158,3,Midfielders,Midfielder,MF,6,Burnley,Samuel Bastien
192,Hedilazio,Manuel Benson,6,3,0.1,52,73,1956,15589,0.8,0,11,4,0.03,0.02,0.05,3.36,0.04,0.02,0.06,4.14,1.0,0.0,0.8,0,0,0,3,0,0,0,0,0,0,159,3,Midfielders,Midfielder,MF,6,Burnley,Benson Manuel
193,Beyer,Jordan,6,2,1.6,40,1218,95823,361575,7.2,4,233,29,0.56,0.19,0.75,20.75,0.04,0.01,0.05,1.53,2.1,0.8,7.2,0,1,2,23,0,0,0,6,0,0,160,2,Defenders,Defender,DF,6,Burnley,Jordan Beyer
194,Brownhill,Josh,6,3,0.3,47,1409,52854,52976,10.2,0,251,48,0.84,1.29,2.13,23.14,0.05,0.08,0.13,1.48,2.7,0.6,10.2,3,0,2,28,0,0,0,2,0,0,161,3,Midfielders,Midfielder,MF,6,Burnley,Josh Brownhill
195,Churlinov,Darko,6,3,0.0,44,0,1316,3601,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,162,3,Midfielders,Midfielder,MF,6,Burnley,Darko Churlinov
196,Cork,Jack,6,3,0.0,48,16,712,2645,0.2,0,2,1,0.00,0.01,0.01,0.13,0.0,0.06,0.06,0.73,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,163,3,Midfielders,Midfielder,MF,6,Burnley,Jack Cork
197,Costelloe,Dara,6,3,0.0,45,0,101,2865,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,164,3,Midfielders,Midfielder,MF,6,Burnley,Dara Costelloe
198,Cullen,Josh,6,3,0.1,50,844,7248,10335,3.6,0,119,18,0.08,0.88,0.96,18.91,0.01,0.09,0.1,2.02,1.6,0.0,3.6,0,1,0,24,0,0,0,5,0,0,165,3,Midfielders,Midfielder,MF,6,Burnley,Josh Cullen
199,Egan-Riley,CJ,6,2,0.2,39,0,22357,19466,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,166,2,Defenders,Defender,DF,6,Burnley,CJ Egan-Riley
200,Ekdal,Hjalmar,6,2,0.1,39,105,9264,19324,0.8,0,20,3,0.00,0.01,0.01,1.97,0.0,0.01,0.01,1.69,1.0,0.1,0.8,0,0,0,1,0,0,0,1,0,0,167,2,Defenders,Defender,DF,6,Burnley,Hjalmar Ekdal
201,Foster,Lyle,6,4,0.6,48,802,262072,251876,8.5,4,128,41,1.70,0.51,2.21,16.15,0.19,0.06,0.25,1.81,4.1,0.3,8.5,3,3,2,20,0,0,0,0,1,0,168,4,Forwards,Forward,FW,6,Burnley,Lyle Foster
202,Franchi,Denis,6,1,0.1,39,0,10137,12232,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,169,1,Goalkeepers,Goalkeeper,GK,6,Burnley,Denis Franchi
203,Gudmundsson,Johann Berg,6,3,0.0,48,680,3219,6054,4.0,0,98,19,0.58,1.78,2.36,9.16,0.08,0.24,0.32,1.21,1.6,0.1,4.0,0,1,1,12,0,0,0,2,0,0,170,3,Midfielders,Midfielder,MF,6,Burnley,Johann Berg Gudmundsson
204,McNally,Luke,6,2,0.0,40,0,0,1705,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,171,2,Defenders,Defender,DF,6,Burnley,Luke McNally
205,Muric,Arijanet,6,1,0.1,43,0,1840,17137,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,172,1,Goalkeepers,Goalkeeper,GK,6,Burnley,Arijanet Muric
206,O'Shea,Dara,6,2,0.2,44,1297,14579,20303,6.1,1,219,27,0.31,0.35,0.66,25.27,0.02,0.02,0.04,1.75,1.8,0.7,6.1,0,2,2,32,1,0,0,3,0,0,173,2,Defenders,Defender,DF,6,Burnley,Dara O'Shea
207,Obafemi,Michael,6,4,0.0,49,19,3172,5969,0.4,0,4,2,0.11,0.01,0.12,0.03,0.52,0.05,0.57,0.14,1.0,0.0,0.4,0,0,0,0,0,0,0,0,0,0,174,4,Forwards,Forward,FW,6,Burnley,Michael Obafemi
208,Peacock-Farrell,Bailey,6,1,0.0,40,0,0,998,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,175,1,Goalkeepers,Goalkeeper,GK,6,Burnley,Bailey Peacock-Farrell
209,Roberts,Connor,6,2,0.2,43,754,14435,29937,2.3,0,107,10,0.00,0.34,0.34,18.25,0.0,0.04,0.04,2.18,0.9,0.1,2.3,0,1,0,21,0,0,0,2,1,0,176,2,Defenders,Defender,DF,6,Burnley,Connor Roberts
210,Rodriguez,Jay,6,4,0.3,53,695,48881,50786,6.2,3,98,33,3.33,0.07,3.40,10.69,0.43,0.01,0.44,1.38,2.5,0.5,6.2,2,1,1,14,0,0,0,0,0,0,177,4,Forwards,Forward,FW,6,Burnley,Jay Rodriguez
211,Taylor,Charlie,6,2,5.6,40,1350,776768,307705,8.5,1,222,34,0.13,0.55,0.68,23.42,0.01,0.04,0.05,1.56,2.3,0.8,8.5,1,1,2,25,0,0,0,5,0,0,178,2,Defenders,Defender,DF,6,Burnley,Charlie Taylor
212,Thomas,Bobby,6,2,0.0,40,0,0,1298,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,179,2,Defenders,Defender,DF,6,Burnley,Bobby Thomas
213,Twine,Scott,6,3,0.0,49,0,119,2667,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,180,3,Midfielders,Midfielder,MF,6,Burnley,Scott Twine
214,Vigouroux,Lawrence,6,1,0.3,39,0,16407,13075,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,181,1,Goalkeepers,Goalkeeper,GK,6,Burnley,Lawrence Vigouroux
215,da Silva,Victor,6,2,0.1,44,1045,6952,13827,5.7,0,120,25,0.25,0.37,0.62,16.99,0.02,0.03,0.05,1.46,1.9,0.7,5.7,0,0,2,20,0,0,0,0,0,0,182,2,Defenders,Defender,DF,6,Burnley,Vitinho
216,Weghorst,Wout,6,4,0.0,55,0,0,14880,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,183,4,Forwards,Forward,FW,6,Burnley,Wout Weghorst
217,Zaroury,Anass,6,3,0.0,47,135,1789,12177,0.6,0,5,3,0.16,0.09,0.25,3.13,0.11,0.06,0.17,2.09,0.6,0.0,0.6,0,0,0,4,0,0,0,0,1,0,184,3,Midfielders,Midfielder,MF,6,Burnley,Anass Zaroury
218,Berge,Sander,6,3,0.1,47,1417,12067,19085,9.1,3,191,43,1.40,0.45,1.85,27.66,0.09,0.03,0.12,1.76,2.3,0.6,9.1,1,1,2,31,0,0,0,4,0,0,475,3,Midfielders,Midfielder,MF,6,Burnley,Sander Berge
219,Amdouni,Zeki,6,4,0.2,53,1312,74591,70225,8.9,4,134,47,2.62,0.77,3.39,22.64,0.18,0.05,0.23,1.55,2.6,0.7,8.9,2,1,4,23,0,0,0,1,0,0,594,4,Forwards,Forward,FW,6,Burnley,Zeki Amdouni
220,Trafford,James,6,1,1.0,45,1710,70575,77528,12.2,4,391,55,0.00,0.00,0.00,31.75,0.0,0.0,0.0,1.67,2.9,1.2,12.2,0,0,2,38,0,0,0,1,0,77,596,1,Goalkeepers,Goalkeeper,GK,6,Burnley,James Trafford
221,Redmond,Nathan,6,3,0.0,48,132,740,4580,2.3,0,38,11,0.03,0.37,0.40,3.92,0.02,0.25,0.27,2.67,0.9,0.2,2.3,0,0,0,5,0,0,0,1,0,0,600,3,Midfielders,Midfielder,MF,6,Burnley,Nathan Redmond
222,Koleosho,Luca,6,3,0.1,49,972,42606,41522,8.2,0,80,40,1.96,1.07,3.03,15.55,0.18,0.1,0.28,1.44,2.7,0.3,8.2,1,2,3,23,0,0,0,0,0,0,605,3,Midfielders,Midfielder,MF,6,Burnley,Luca Koleosho
223,Bruun Larsen,Jacob,6,3,0.0,49,446,2883,3198,6.1,0,87,30,1.28,0.34,1.62,7.32,0.26,0.07,0.33,1.48,1.9,0.5,6.1,2,0,1,9,0,0,0,0,0,0,608,3,Midfielders,Midfielder,MF,6,Burnley,Jacob Bruun Larsen
224,Dodgson,Owen,6,2,0.0,40,0,467,3438,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,622,2,Defenders,Defender,DF,6,Burnley,Owen Dodgson
225,Odobert,Wilson,6,3,0.0,50,493,4697,1928,7.0,3,134,35,0.49,1.17,1.66,11.28,0.09,0.21,0.3,2.06,3.5,0.8,7.0,3,1,1,12,0,0,0,2,0,0,660,3,Midfielders,Midfielder,MF,6,Burnley,Wilson Odobert
226,Delcroix,Hannes,6,2,0.0,40,309,4520,3275,1.2,0,55,5,0.35,0.06,0.41,6.68,0.1,0.02,0.12,1.95,0.6,0.1,1.2,0,0,0,13,0,0,0,1,0,0,674,2,Defenders,Defender,DF,6,Burnley,Hannes Delcroix
227,Ramsey,Aaron,6,3,0.0,50,256,9078,7784,2.2,0,40,11,0.10,0.46,0.56,4.93,0.04,0.16,0.2,1.73,1.2,0.1,2.2,0,0,0,8,0,0,0,0,0,0,675,3,Midfielders,Midfielder,MF,6,Burnley,Aaron Ramsey
228,Massengo,Han-Noah,6,3,0.0,50,0,373,385,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,694,3,Midfielders,Midfielder,MF,6,Burnley,Han-Noah Massengo
229,Tresor,Mike,6,3,0.0,54,374,4401,3964,3.0,0,60,16,0.37,0.54,0.91,8.43,0.09,0.13,0.22,2.03,1.3,0.2,3.0,0,0,0,7,0,0,0,0,0,0,706,3,Midfielders,Midfielder,MF,6,Burnley,Mike Tresor
230,Caicedo Corozo,Moises,7,3,1.2,46,1273,104662,304254,6.3,0,168,29,0.23,0.63,0.86,17.81,0.02,0.04,0.06,1.26,1.8,0.4,6.3,0,0,3,20,0,0,0,4,0,0,126,3,Midfielders,Midfielder,MF,7,Chelsea,Moises Caicedo
231,Sanchez,Robert,7,1,4.4,46,1433,995876,916688,12.8,7,317,59,0.00,0.00,0.00,23.72,0.0,0.0,0.0,1.49,3.7,0.6,12.8,0,0,3,25,0,1,0,2,0,53,145,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Robert Sanchez
232,Ampadu,Ethan,7,2,0.0,40,0,0,885,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,185,2,Defenders,Defender,DF,7,Chelsea,Ethan Ampadu
233,Arrizabalaga,Kepa,7,1,0.2,50,0,1775,84357,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,187,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Kepa Arrizabalaga
234,Aubameyang,Pierre-Emerick,7,4,0.0,65,0,0,1970,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,188,4,Forwards,Forward,FW,7,Chelsea,Pierre-Emerick Aubameyang
235,Azpilicueta,Cesar,7,2,0.0,45,0,0,99,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,189,2,Defenders,Defender,DF,7,Chelsea,Cesar Azpilicueta
236,Baba,Abdul Rahman,7,2,0.0,40,0,0,282,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,190,2,Defenders,Defender,DF,7,Chelsea,Abdul Rahman Baba
237,Badiashile,Benoit,7,2,0.2,44,460,19755,10073,3.9,4,105,17,0.11,0.61,0.72,6.09,0.02,0.12,0.14,1.19,2.8,0.6,3.9,0,1,1,10,0,0,0,1,0,0,191,2,Defenders,Defender,DF,7,Chelsea,Benoit Badiashile
238,Bettinelli,Marcus,7,1,0.0,40,0,1735,2226,-0.2,0,-3,-1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,0,0,0,0,0,0,1,0,0,192,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Marcus Bettinelli
239,Broja,Armando,7,4,0.2,49,322,72269,63804,4.1,0,43,20,1.93,0.13,2.06,4.51,0.54,0.04,0.58,1.26,1.8,0.2,4.1,1,1,1,5,0,0,0,0,0,0,193,4,Forwards,Forward,FW,7,Chelsea,Armando Broja
240,Chalobah,Trevoh,7,2,0.0,43,0,786,16892,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,194,2,Defenders,Defender,DF,7,Chelsea,Trevoh Chalobah
241,Chilwell,Ben,7,2,4.9,54,334,2119854,3151790,2.8,2,66,15,0.85,1.27,2.12,4.08,0.23,0.34,0.57,1.1,2.5,0.0,2.8,0,1,1,5,0,0,0,3,0,0,195,2,Defenders,Defender,DF,7,Chelsea,Ben Chilwell
242,Chukwuemeka,Carney,7,3,1.1,42,125,250314,419913,1.4,0,23,6,0.08,0.19,0.27,1.96,0.06,0.14,0.2,1.41,3.0,0.0,1.4,1,0,0,2,0,0,0,2,0,0,196,3,Midfielders,Midfielder,MF,7,Chelsea,Carney Chukwuemeka
243,Colwill,Levi,7,2,7.6,47,1417,1105141,636258,11.3,3,283,53,1.19,0.40,1.59,20.11,0.08,0.03,0.11,1.28,2.9,0.6,11.3,1,1,4,21,0,0,0,2,0,0,197,2,Defenders,Defender,DF,7,Chelsea,Levi Colwill
244,Cucurella Saseta,Marc,7,2,0.4,48,703,54796,81844,2.1,0,104,10,0.85,0.26,1.11,13.23,0.11,0.03,0.14,1.69,1.1,0.1,2.1,0,0,1,14,0,0,0,5,0,0,198,2,Defenders,Defender,DF,7,Chelsea,Marc Cucurella
245,Fernandez,Enzo,7,3,2.4,48,1253,346031,537529,9.2,3,197,44,4.41,1.81,6.22,20.04,0.32,0.13,0.45,1.44,2.8,0.7,9.2,2,1,4,21,0,0,1,4,0,0,199,3,Midfielders,Midfielder,MF,7,Chelsea,Enzo Fernandez
246,Fofana,David Datro,7,4,0.0,50,0,0,368,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,200,4,Forwards,Forward,FW,7,Chelsea,David Datro Fofana
247,Fofana,Wesley,7,2,0.0,44,0,739,3204,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,201,2,Defenders,Defender,DF,7,Chelsea,Wesley Fofana
248,Gallagher,Conor,7,3,0.5,54,1507,83044,87495,9.4,4,282,51,1.26,2.20,3.46,22.10,0.08,0.13,0.21,1.32,2.8,0.1,9.4,0,5,4,25,0,0,0,4,1,0,202,3,Midfielders,Midfielder,MF,7,Chelsea,Conor Gallagher
249,Gusto,Malo,7,2,5.6,41,708,1920603,1552491,8.3,5,173,34,0.43,1.04,1.47,9.07,0.05,0.13,0.18,1.15,2.8,0.4,8.3,0,3,2,9,0,0,0,2,1,0,203,2,Defenders,Defender,DF,7,Chelsea,Malo Gusto
250,James,Reece,7,2,3.2,53,386,506865,1722746,1.7,0,95,9,0.30,1.01,1.31,10.20,0.07,0.24,0.31,2.38,1.1,0.1,1.7,0,1,0,12,0,0,0,0,1,0,206,2,Defenders,Defender,DF,7,Chelsea,Reece James
251,Lukaku Bolingoli,Romelu,7,4,0.3,68,0,9006,61325,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,207,4,Forwards,Forward,FW,7,Chelsea,Romelu Lukaku Bolingoli
252,Madueke,Noni,7,3,0.1,53,148,8991,13739,2.6,1,46,14,0.99,0.44,1.43,2.50,0.6,0.27,0.87,1.52,1.8,0.2,2.6,1,0,0,4,0,0,0,1,0,0,208,3,Midfielders,Midfielder,MF,7,Chelsea,Noni Madueke
253,Mudryk,Mykhailo,7,3,1.1,63,800,135722,307879,8.6,4,153,54,1.99,1.63,3.62,10.62,0.22,0.18,0.4,1.19,3.2,0.6,8.6,3,3,4,11,0,0,0,3,0,0,210,3,Midfielders,Midfielder,MF,7,Chelsea,Mykhailo Mudryk
254,Jackson,Nicolas,7,4,6.3,69,1359,1619423,2509197,8.8,5,203,61,9.91,1.57,11.48,21.37,0.66,0.1,0.76,1.42,3.4,0.4,8.8,7,1,4,23,0,0,0,8,0,0,211,4,Forwards,Forward,FW,7,Chelsea,Nicolas Jackson
255,Nkunku,Christopher,7,4,3.6,74,102,347155,147488,1.2,2,29,9,0.89,0.22,1.11,1.22,0.79,0.19,0.98,1.08,4.5,0.2,1.2,1,0,0,2,0,0,0,0,0,0,212,4,Forwards,Forward,FW,7,Chelsea,Christopher Nkunku
256,Pulisic,Christian,7,3,0.0,55,0,0,398,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,213,3,Midfielders,Midfielder,MF,7,Chelsea,Christian Pulisic
257,Sarr,Malang,7,2,0.1,43,0,4476,9122,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,214,2,Defenders,Defender,DF,7,Chelsea,Malang Sarr
258,Slonina,Gabriel,7,1,0.0,40,0,0,4036,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,215,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Gabriel Slonina
259,Sterling,Raheem,7,3,8.9,71,1419,2917572,2358958,11.4,6,231,81,4.09,3.38,7.47,22.51,0.26,0.21,0.47,1.43,4.5,0.4,11.4,5,6,3,25,0,0,0,5,0,0,216,3,Midfielders,Midfielder,MF,7,Chelsea,Raheem Sterling
260,Emiliano da Silva,Thiago,7,2,3.9,50,1562,362755,306630,10.0,5,342,50,0.23,0.41,0.64,24.72,0.01,0.02,0.03,1.42,2.8,0.4,10.0,1,0,4,26,0,0,0,2,0,0,217,2,Defenders,Defender,DF,7,Chelsea,Thiago Silva
261,Ziyech,Hakim,7,3,0.1,54,0,1010,16373,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,218,3,Midfielders,Midfielder,MF,7,Chelsea,Hakim Ziyech
262,Palmer,Cole,7,3,21.1,56,1060,2951409,803594,13.2,8,266,74,5.48,3.27,8.75,19.32,0.47,0.28,0.75,1.64,4.6,0.8,13.2,6,4,2,20,0,0,0,5,0,0,362,3,Midfielders,Midfielder,MF,7,Chelsea,Cole Palmer
263,Borges Damaceno,Angelo Gabriel,7,3,0.0,50,0,0,995,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,589,3,Midfielders,Midfielder,MF,7,Chelsea,Angelo Gabriel Borges Damaceno
264,Maatsen,Ian,7,3,0.1,51,200,3184,10341,2.2,0,24,11,0.74,0.20,0.94,5.07,0.33,0.09,0.42,2.28,0.9,0.2,2.2,0,0,0,5,0,0,0,1,0,0,609,3,Midfielders,Midfielder,MF,7,Chelsea,Ian Maatsen
265,Disasi,Axel,7,2,4.0,49,1506,941442,761795,10.4,4,286,51,0.78,1.32,2.10,21.58,0.05,0.08,0.13,1.29,3.0,0.4,10.4,1,0,4,22,0,0,0,2,0,0,611,2,Defenders,Defender,DF,7,Chelsea,Axel Disasi
266,Ugochukwu,Lesley,7,3,0.2,44,269,44487,42719,2.5,0,53,11,0.00,0.11,0.11,6.73,0.0,0.04,0.04,2.25,1.1,0.0,2.5,0,0,1,6,0,0,0,2,0,0,613,3,Midfielders,Midfielder,MF,7,Chelsea,Lesley Ugochukwu
267,Burstow,Mason,7,4,0.1,45,8,4401,13917,0.4,0,6,2,0.00,0.00,0.00,0.90,0.0,0.0,0.0,10.12,1.0,0.0,0.4,0,0,0,1,0,0,0,0,0,0,623,4,Forwards,Forward,FW,7,Chelsea,Mason Burstow
268,Bergstrom,Lucas,7,1,0.0,40,0,1793,1566,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,659,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Lucas Bergstrom
269,Lavia,Romeo,7,3,0.0,49,32,1384,1419,0.2,0,2,1,0.00,0.01,0.01,0.33,0.0,0.03,0.03,0.93,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,667,3,Midfielders,Midfielder,MF,7,Chelsea,Romeo Lavia
270,Humphreys,Bashir,7,2,0.0,40,0,629,966,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,671,2,Defenders,Defender,DF,7,Chelsea,Bashir Humphreys
271,de Souza Eugenio,Deivid Washington,7,4,0.1,45,9,10082,7545,0.2,0,3,1,0.47,0.00,0.47,1.64,4.7,0.0,4.7,16.4,1.0,0.0,0.2,0,0,0,1,0,0,0,0,0,0,677,4,Forwards,Forward,FW,7,Chelsea,Deivid Washington
272,Beach,Eddie,7,1,0.0,40,0,1361,1005,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,680,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Eddie Beach
273,da Silva Moreira,Diego Manuel Jadon,7,3,0.0,45,0,236,280,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,681,3,Midfielders,Midfielder,MF,7,Chelsea,Diego Manuel Jadon da Silva Moreira
274,Petrovic,Djordje,7,1,0.9,45,276,96433,9760,2.7,0,59,12,0.00,0.00,0.00,2.84,0.0,0.0,0.0,0.93,3.0,0.4,2.7,0,0,1,4,0,0,0,0,0,9,687,1,Goalkeepers,Goalkeeper,GK,7,Chelsea,Dorde Petrovic
275,Gilchrist,Alfie,7,2,0.0,40,1,1839,1382,0.2,0,3,1,0.00,0.00,0.00,0.07,0.0,0.0,0.0,6.3,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,716,2,Defenders,Defender,DF,7,Chelsea,Alfie Gilchrist
276,Stutter,Ronnie,7,4,0.0,45,0,4971,3509,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,717,4,Forwards,Forward,FW,7,Chelsea,Ronnie Stutter
277,Matos,Alex,7,3,0.0,45,1,1244,938,0.2,0,2,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,718,3,Midfielders,Midfielder,MF,7,Chelsea,Alex Matos
278,Brooking,Josh,7,2,0.0,40,0,1443,1019,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,723,2,Defenders,Defender,DF,7,Chelsea,Josh Brooking
279,Castledine,Leo,7,3,0.0,45,0,112,56,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,758,3,Midfielders,Midfielder,MF,7,Chelsea,Leo Castledine
280,Holding,Rob,8,2,0.1,43,0,5350,14784,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,2,Defenders,Defender,DF,8,Crystal Palace,Rob Holding
281,Ahamada,Naouirou,8,3,0.8,43,123,163082,117382,2.1,0,27,9,0.10,0.06,0.16,3.91,0.07,0.04,0.11,2.86,0.9,0.1,2.1,0,0,0,5,0,0,0,1,0,0,219,3,Midfielders,Midfielder,MF,8,Crystal Palace,Naouirou Ahamada
282,Andersen,Joachim,8,2,18.0,49,1710,2927053,1382385,13.7,9,354,67,1.16,0.84,2.00,28.27,0.06,0.04,0.1,1.49,3.5,0.2,13.7,2,1,5,28,0,0,0,4,0,0,220,2,Defenders,Defender,DF,8,Crystal Palace,Joachim Andersen
283,Ayew,Jordan,8,3,0.4,54,1456,96978,101572,10.2,0,166,55,2.76,1.57,4.33,22.53,0.17,0.1,0.27,1.39,3.1,0.5,10.2,2,4,6,21,0,0,0,4,1,0,221,3,Midfielders,Midfielder,MF,8,Crystal Palace,Jordan Ayew
284,Clyne,Nathaniel,8,2,0.1,44,551,7248,11312,3.4,0,84,15,0.03,0.07,0.10,9.51,0.0,0.01,0.01,1.55,1.9,0.3,3.4,0,0,1,8,0,0,0,0,0,0,222,2,Defenders,Defender,DF,8,Crystal Palace,Nathaniel Clyne
285,Doucoure,Cheick,8,3,0.1,49,920,11480,14543,4.3,0,141,21,0.28,0.76,1.04,13.76,0.03,0.07,0.1,1.35,1.9,0.0,4.3,0,0,3,12,0,0,0,2,0,0,223,3,Midfielders,Midfielder,MF,8,Crystal Palace,Cheick Doucoure
